marca_id;categoria_id;codigo_interno;nombre;descripcion;unidad_medida;peso_unitario;volumen_unitario;stock_minimo;unidades_caja;codigo_ean
1;3;69625327;PONDS GEL ALOE6X50G + LIMP200ML + MSK26G;PONDS GEL ALOE6X50G + LIMP200ML + MSK26G;UND;0.276;0.000276;0;6;7702010000000
1;2;69627014;DOVE DEO AER AP ORQUIDEA 12X87G/150ML;DOVE DEO AER AP ORQUIDEA 12X87G/150ML;UND;0.087;0.000087;0;12;7506310000000
1;3;69627795;PONDS CR CLARANT B3 GRASA 6X100G+CB3 50G;PONDS CR CLARANT B3 GRASA 6X100G+CB3 50G;UND;0.15;0.00015;0;6;7702010000000
1;2;69627872;DOVE DEO ROL AP ORQUIDEA 12X50ML;DOVE DEO ROL AP ORQUIDEA 12X50ML;UND;0.053;0.000053;0;12;75077341
1;2;69643383;DOVE JAB REGULAR BLANCO 8X12X90G;DOVE JAB REGULAR BLANCO 8X12X90G;UND;1.08;0.00108;0;8;7411000000000
1;2;69643384;DOVE JAB EXFOLIACION 16X3X90G;DOVE JAB EXFOLIACION 16X3X90G;UND;0.27;0.00027;0;16;7861000000000
1;2;69643385;DOVE JAB REVIGORIZANTE 8X12X90G;DOVE JAB REVIGORIZANTE 8X12X90G;UND;1.08;0.00108;0;8;7702010000000
1;2;69643386;DOVE JAB REVIGORIZANTE 16X3X90G;DOVE JAB REVIGORIZANTE 16X3X90G;UND;0.27;0.00027;0;16;7891150000000
1;2;69643388;DOVE JAB MIX 8X6X90G;DOVE JAB MIX 8X6X90G;UND;0.54;0.00054;0;8;7702010000000
1;6;69650890;CIF DESCINC PRO 4X4L;CIF DESCINC PRO 4X4L;UND;4.4;0.0044;0;4;7702190000000
1;3;69655840;DOVE SUPER AC 60 MINUTOS 4X7X70ML;DOVE SUPER AC 60 MINUTOS 4X7X70ML;UND;0.483;0.000483;0;4;7702010000000
1;3;696558401;DOVE SUPER AC 60 MINUTOS - SACHET X70ML;DOVE SUPER AC 60 MINUTOS - SACHET X70ML;UND;0.07;0.00007;0;28;7702010000000
1;4;69656511;MAIZENA COLAD INST VAINILLA 3X12X14G;MAIZENA COLAD INST VAINILLA 3X12X14G;UND;0.168;0.000168;0;3;7702050000000
1;4;69656512;MAIZENA COLAD INST CHOCOLATE 3X12X14G;MAIZENA COLAD INST CHOCOLATE 3X12X14G;UND;0.168;0.000168;0;3;7702050000000
1;4;69656513;MAIZENA COLAD INST FRESA 3X12X14G;MAIZENA COLAD INST FRESA 3X12X14G;UND;0.168;0.000168;0;3;7702050000000
1;2;69658301;DOVE MEN DEO ROL PROT TOT 6X30ML EXP;DOVE MEN DEO ROL PROT TOT 6X30ML EXP;UND;0.032;0.000032;0;6;78931640
1;2;69658306;DOVE DEO ROL AP ORIGINAL 6X30ML EXP;DOVE DEO ROL AP ORIGINAL 6X30ML EXP;UND;0.032;0.000032;0;6;78931633
1;3;69658503;DOVE CR NUTRICION ESENCIAL 12X200ML;DOVE CR NUTRICION ESENCIAL 12X200ML;UND;0.2;0.0002;0;12;7501060000000
1;3;69662414;EGO FOR MEN CERA POTE 6X2X160ML;EGO FOR MEN CERA POTE 6X2X160ML;UND;0.316;0.000316;0;6;7702010000000
1;2;69668961;DOVE BS BAR SHEA FBX 48X1X90G LA S2 21;DOVE BS BAR SHEA FBX 48X1X90G LA S2 21;UND;0.09;0.00009;0;48;7506310000000
1;4;69673059;FRUCO SSA ROSADA DOYPACK 12X180G;FRUCO SSA ROSADA DOYPACK 12X180G;UND;0.18;0.00018;0;12;7702050000000
1;4;69673060;FRUCO SSA ROSADA SCH 6X12X80G;FRUCO SSA ROSADA SCH 6X12X80G;UND;0.96;0.00096;0;6;7702050000000
1;4;696730601;FRUCO SSA ROSADA - SACHET X80G;FRUCO SSA ROSADA - SACHET X80G;UND;0.96;0.00096;0;72;7702050000000
1;4;69673061;FRUCO SSA ROSADA DOYPACK 12X380G;FRUCO SSA ROSADA DOYPACK 12X380G;UND;0.38;0.00038;0;12;7702050000000
1;2;69674325;REXONA JAB LIQ ANTIB AVENA RFL 12X500ML;REXONA JAB LIQ ANTIB AVENA RFL 12X500ML;UND;0.513;0.000513;0;12;7702010000000
1;2;69674326;REXONA JAB LIQ ANTIB AVENA RFL 10X1L;REXONA JAB LIQ ANTIB AVENA RFL 10X1L;UND;1.026;0.001026;0;10;7702010000000
1;6;69675196;VEL ROSITA JAB TPK 24X3X180G;VEL ROSITA JAB TPK 24X3X180G;UND;0.554;0.000554;0;24;7702190000000
1;4;69675495;MAIZENA REG FECULA 24X720G;MAIZENA REG FECULA 24X720G;UND;0.72;0.00072;0;24;7702050000000
1;6;69678286;AROMATEL SUAVIZ MANDARINA 6X2X900ML;AROMATEL SUAVIZ MANDARINA 6X2X900ML;UND;1.767;0.001767;0;6;7702190000000
1;6;69678287;AROMATEL SUAVIZ MANDARINA DP 24X400ML;AROMATEL SUAVIZ MANDARINA DP 24X400ML;UND;0.43;0.00043;0;24;7702190000000
1;6;69678288;AROMATEL SUAVIZ MANDARINA DP 36X180ML;AROMATEL SUAVIZ MANDARINA DP 36X180ML;UND;0.178;0.000178;0;36;7702190000000
1;6;69678289;AROMATEL SUAVIZ MANDARINA 3X2X2500ML;AROMATEL SUAVIZ MANDARINA 3X2X2500ML;UND;4.9;0.0049;0;3;7702190000000
1;3;69679052;DOVE SH RECON COMPLETA ARA 12X200ML;DOVE SH RECON COMPLETA ARA 12X200ML;UND;0.206;0.000206;0;12;7702010000000
1;3;69682135;PONDS CR CLARA B3 P SECA DPL 12X10X8.5G;PONDS CR CLARA B3 P SECA DPL 12X10X8.5G;UND;0.056;0.000056;0;12;7702010000000
1;2;69689124;REXONA JAB LIQ ANTIB ALOE RFL 10X1L;REXONA JAB LIQ ANTIB ALOE RFL 10X1L;UND;1.026;0.001026;0;10;7702010000000
1;6;69692311;BARRIGON JAB AZUL 16X2X400G;BARRIGON JAB AZUL 16X2X400G;UND;0.818;0.000818;0;16;7702190000000
1;6;69692316;FAB DT PVO FLORAL 30X450G;FAB DT PVO FLORAL 30X450G;UND;0.458;0.000458;0;30;7702190000000
1;6;69692322;3D POLVO MULTIUSOS 96X125G;3D POLVO MULTIUSOS 96X125G;UND;0.125;0.000125;0;96;7702190000000
1;6;69695032;FAB DT PVO FLORAL 3X4KG;FAB DT PVO FLORAL 3X4KG;UND;4;0.004;0;3;7702190000000
1;6;69695034;3D PVO MULTIUSOS 22X500G;3D PVO MULTIUSOS 22X500G;UND;0.5;0.0005;0;22;7702190000000
1;6;69695035;FAB DT PVO FLORAL 54X225G;FAB DT PVO FLORAL 54X225G;UND;0.225;0.000225;0;54;7702190000000
